author,affiliation
A K M Kausarul Islam,Architecture Department
A. Abokhodair,Geosciences Department
A. Laradji,Mathematics and Statistics Department
A. Madhan Kumar,Corrosion Research Excellence Center
A.Adly Kh. Al-Saafin,Geosciences Department
A.H.Abdur-Rahim,Electrical Engineering Department
"A.Shawky,Ibrahim",Mathematics and Statistics Department
A/R Howsawi,Islamic & Arabic Studies Department
Abbas Ahmed Ibrahim Albu Shaqraa,Civil and Environmental Engineering Department
Abbas Hakeem,Nanotechnology Research Excellence Center
Abbas Taqi Abdrab Alhussian Al-Saif,Physical Education Department
"Abd-El-Barr, Mostafa Ibrahim Hassanin",Computer Engineering Department
Abd-Nacer Bouchekhima,Information and Computer Science Department
Abdalla Abulkibash,Chemistry Department
Abdalla Said,Physical Education Department
Abdallah Al-Ahmari,Electrical Engineering Department
Abdallah Al-Sukairi,Information and Computer Science Department
Abdallah Harouaka,Research Institute
Abdallah M Elamin,Management and Marketing Department
Abdallah M. Al Zahrani,Physics Department
Abdalrhuman Hamad Al-Khaledi,Islamic & Arabic Studies Department
Abdel-Aal Hassan Mantawy,Electrical Engineering Department
Abdel-Nasser Kawde,Chemistry Department
Abdel-Salam M. Eleiche,Mechanical Engineering Department
Abdelkader Boucherif,Mathematics and Statistics Department
Abdelkarim Mekki,Physics Department
Abdelmalek Zidouri,Electrical Engineering Department
Abdelouahab Bentrcia,Electrical Engineering Department
Abdelsalam Mohammad Al-Sarkhi,Mechanical Engineering Department
Abdelwahab Kharab,Mathematics and Statistics Department
Abdeslam Mimouni,Mathematics and Statistics Department
Abdeslem Lyaghfouri,Mathematics and Statistics Department
Abdouelilah Hachimi,Nanotechnology Research Excellence Center
Abduallah Mohsen Baduraig,Chemical Engineering Department
Abdul Aleem B. Jabbar,Mechanical Engineering Department
Abdul Hadi Alhulimy,Accounting and Management Information Systems Department
Abdul Malik Peedikakal,Chemistry Department
Abdul Malik Puthan Peedikakkal,Chemistry Department
Abdul Muttaleb Yousefjaber,Chemistry Department
Abdul Qadar Kara,Systems Engineering Department
Abdul Rahim Khan,Mathematics and Statistics Department
Abdul Rahman A. Almulhem,Management and Marketing Department
Abdul Rahman Al-Arfaj,Chemistry Department
Abdul Rehman,Chemistry Department
Abdul-Hamid J. Al-Tayyib,Civil and Environmental Engineering Department
"Abdul-Mohsen, Al-Hammad",Architectural Engineering Department
Abdul-Rahman D. Al-Shallali,Mathematics and Statistics Department
Abdulazeez Abdulraheem,Petroleum Engineering Department
Abdulaziz A. Al Majed,Petroleum Engineering Department
Abdulaziz A. Bubshait,Construction Engineering and Management Department
Abdulaziz A. Suwaiyan,Chemistry Department
Abdulaziz Ahmed Suwaiyan Al-Khulaifi,Electrical Engineering Department
Abdulaziz Al-Majed,Petroleum Engineering Department
Abdulaziz Al-Saadi,Chemistry Department
Abdulaziz Al-Shaibani,Geosciences Department
Abdulaziz Aldayel,Physical Education Department
Abdulaziz Aljalal,Physics Department
Abdulaziz M. Al-Assaf,Mathematics and Statistics Department
Abdulaziz Majed Alqadhib,City and Regional Planning Department
Abdulaziz Mohammed H Qwbaiban,Electrical Engineering Department
Abdulaziz Muhammad Alkhoraidly,Information and Computer Science Department
Abdulaziz S. Tabakh,Computer Engineering Department
Abdulaziz Suwailem,Research Institute
Abdulaziz Yaagoub Barnawi,Computer Engineering Department
Abdulbasit A. Andijani,Systems Engineering Department
Abdulelah Mohammed Qadiri,Mathematics and Statistics Department
Abdulgader Amir,Architecture Department
Abdulghani Al-Farayedhi,Mechanical Engineering Department
Abdulhadi Abdullah Hassan Al-Zahrani,Chemical Engineering Department
Abdulhadi Al-Juhani,Chemical Engineering Department
Abdulhafez Selim,Physics Department
Abdulkadir Aksoy,Physics Department
Abdull-Kareem Al-Zahrani,Islamic & Arabic Studies Department
Abdull-Malik Kadi,Islamic & Arabic Studies Department
Abdull-Rahman Al-Osail,Islamic & Arabic Studies Department
Abdull-Razzaq Hussein,Islamic & Arabic Studies Department
Abdullah A. Shaikh,Chemical Engineering Department
Abdullah Al Sunaidi,Physics Department
Abdullah Al-Assaf,Islamic & Arabic Studies Department
Abdullah Ali Alwaleedi,Physical Education Department
Abdullah D. Alharbi,Accounting and Management Information Systems Department
Abdullah Faisal Al-Battal,Electrical Engineering Department
Abdullah H. Al-Abdul-Gader,Accounting and Management Information Systems Department
Abdullah J. Hamdan,Chemistry Department
Abdullah K. Al-Zamel,Information and Computer Science Department
Abdullah Laiq Shah,Electrical Engineering Department
Abdullah M. Al-Garni,Aerospace Engineering Department
Abdullah Mohammed Al Mansour,Accounting and Finance Department
Abdullah Mohammed Saeed Al-Garni,Electrical Engineering Department
Abdullah Mohammed ِِAbdulrahman Alothman,Electrical Engineering Department
Abdullah Omar Ibrahim,Islamic & Arabic Studies Department
Abdullatif Qahwash,Geosciences Department
Abdullatif Y S Almogren,Islamic & Arabic Studies Department
Abdulmajeed Ebraheem Mubarak,Islamic & Arabic Studies Department
Abdulmohsen Fahad Mohammad Bin Dawood,Accounting and Finance Department
Abdulrahim A. Al-Meer,Management and Marketing Department
Abdulrahim Okleh Shamayleh,Systems Engineering Department
Abdulrahman Al-Arfaj,Chemistry Department
Abdulrahman Jarad,Geosciences Department
Abdulrahman Khalid Al-Saadi,Islamic & Arabic Studies Department
Abdulrahman Khathlan,Civil and Environmental Engineering Department
Abdulrhman Suliman Abdulrahman Alessa,Systems Engineering Department
Abdulwahab S. Al-Gahtani,Management and Marketing Department
Abdur-Rahim M. Farhat,Mathematics and Statistics Department
Abdurrahim Siradag,General Studies Department
Abdussalam Kanniyan,Physical Education Department
Abedalhameed Alameer,Physical Education Department
Abeeb Adebowale Awotunde,Petroleum Engineering Department
Abeeb Awotunde,Petroleum Engineering Department
Abeida Habti,Electrical Engineering Department
Aboubakr Salem Mohamed Salem,Electrical Engineering Department
Abu Sagar,Islamic & Arabic Studies Department
Abuhilal,Physical Education Department
Abujiya Ramat Muázu,Preparatory Year Program
Abul Bashar,Electrical Engineering Department
Abul Hasan Siddiqi,Mathematics and Statistics Department
Abul K. Azad,Civil and Environmental Engineering Department
Abul-Fazal M. Arif,Mechanical Engineering Department
Achi Mohamed Ishaq,Civil and Environmental Engineering Department
Adel Alshibani,Architectural Engineering Department
Adel Khalfallah,Mathematics and Statistics Department
Adel Namori,Physical Education Department
Adel Nooraldeen,Physical Education Department
Adel S. Aldosary,City and Regional Planning Department
"Adel, Abdou",Architectural Engineering Department
"Adiche, Hakim Salah",Computer Engineering Department
Adil Abdulaziz S Alsuhaim,Information and Computer Science Department
Adil S. Balghonaim,Electrical Engineering Department
Adnan A Al-Shakhs,Mathematics and Statistics Department
Adnan Abdul-Aziz Gutub,Computer Engineering Department
Adnan Al-Amer,Chemical Engineering Department
Adnan Jibril,Mathematics and Statistics Department
Ahmad,Mathematics and Statistics Department
Ahmad A. Al-Yamani,Computer Engineering Department
Ahmad A. Masoud,Electrical Engineering Department
Ahmad A. Sorour,Corrosion Research Excellence Center
Ahmad Al-Zoubi,Preparatory Year Program
Ahmad Ali Yeslam Baubaid,Systems Engineering Department
Ahmad Almulhem,Computer Engineering Department
Ahmad Ibrahim Mansour,Physics Department
Ahmad Jamal,Aerospace Engineering Department
Ahmad Muhammad Ghazali Khayyat,Computer Engineering Department
Ahmad Yousef Al-Dweik,Mathematics and Statistics Department
Ahmar Shafi,Electrical Engineering Department
Ahmed A. Bahjat,Information and Computer Science Department
Ahmed Abdelrahman Abdelmaksoud Ibrahim,Civil and Environmental Engineering Department
Ahmed Abdul Quadeer,Electrical Engineering Department
Ahmed Abul Hussain,Electrical Engineering Department
Ahmed Al-Bahrani,Geosciences Department
Ahmed Al-Harbi,Chemistry Department
Ahmed Ali Abdel Alim Khalifa,Accounting and Finance Department
Ahmed Aly Diaa Mohammed Sarhan,Mechanical Engineering Department
Ahmed Baker Al-Harbi,Chemistry Department
Ahmed Bendania,General Studies Department
Ahmed Bouketir,Dammam Community College
Ahmed F. Salem,Physics Department
Ahmed Ibrahim Al-Herz,Information and Computer Science Department
Ahmed M. Al-Matouq,Islamic & Arabic Studies Department
Ahmed Mahdi Muqbil Ahmed,Preparatory Year Program
Ahmed Mohsen Sabry Abd El Fattah,Architecture Department
Ahmed S. Al-Ojairi,Accounting and Management Information Systems Department
Ahmed Sedky,Architecture Department
Ahmed Yamani,Electrical Engineering Department
Ahmed Z. Al-Garni,Aerospace Engineering Department
"Ahmed, Ejaz",Information and Computer Science Department
Ahmet Emin Tatar,Mathematics and Statistics Department
Ahmet Ziyaettin Sahin,Mechanical Engineering Department
Ahsan-Ul-Haq Qurashi,Nanotechnology Research Excellence Center
Akeem Y. Adesina,Corrosion Research Excellence Center
Akhtar A. Naqvi,Physics Department
Akram Ahmad,Preparatory Year Program
Akram Read Morsy,Preparatory Year Program
Al-Aithan,Physics Department
Al-Amin Al-Mobarak,Islamic & Arabic Studies Department
Al-Gahtani Muhammad Ali,Electrical Engineering Department
"Al-Gahtani, Ahmad Saad",Civil and Environmental Engineering Department
"Al-Ghamdi, Jarallah",Information and Computer Science Department
"Al-Hashim, Amin G.",Information and Computer Science Department
Al-Homdan Suleman,Mathematics and Statistics Department
"Al-Mouhamed, Mayez",Computer Engineering Department
"Al-Mulhem, Abdulaziz Sultan Ibrahim",Computer Engineering Department
"Al-Najjar, Atef Jawad",Computer Engineering Department
"Al-Saihati, Ibrahim",Electrical Engineering Department
"Al-Shuabi, Abdulaziz",Mathematics and Statistics Department
Alaa El-Din Hussein,Electrical Engineering Department
Alaa Eldin Eliwa,Physical Education Department
Alaadin A. Bukhari,Civil and Environmental Engineering Department
Alade Olalekan Saheed,Petroleum Engineering Department
"Alaimia, Mohamed Ridha",Preparatory Year Program
"Alakhdhar, S. Z.",Electrical Engineering Department
"Alawami, Louai Adnan",Computer Engineering Department
Aldo Vesnaver,Geosciences Department
Aleem Khalid Alvi,Computer Engineering Department
Alex Hairabian,Geosciences Department
Alexis Nzila Mouanda,Chemistry Department
Alfarabi Sharif,Civil and Environmental Engineering Department
Alhassan G. Abdul-Muhmin,Management and Marketing Department
Ali,Physics Department
Ali A. Shash,Construction Engineering and Management Department
Ali Abdullah Alsaeed,Mechanical Engineering Department
Ali Ahmad Al-Shaikhi,Electrical Engineering Department
Ali Al-Awadh,Petroleum Engineering Department
Ali Al-Dakhil-Allah,Geosciences Department
Ali Al-Karkhy,Dammam Community College
Ali Arshad Nasir,Electrical Engineering Department
Ali Cherid,Mathematics and Statistics Department
Ali El-Said El-Rayyes,Chemistry Department
Ali Habib Al-Elg,Accounting and Finance Department
Ali Hassan Mohammed Hjaar,Systems Engineering Department
Ali Hussain Al-Ghadib,Civil and Environmental Engineering Department
Ali Hussein Muqaibel,Electrical Engineering Department
Ali Ibeid,Physical Education Department
Ali Khamis Al-Yousef,Civil and Environmental Engineering Department
Ali Mohammad Al-Shukri,Physics Department
Ali Mohammad Ali Alshehri,Mechanical Engineering Department
Ali Mohammed Al-Ghamdi,Geosciences Department
Ali Nabi Duman,Mathematics and Statistics Department
Ali Osman Oncel,Geosciences Department
Ali S. Al-Naser,City and Regional Planning Department
Ali Sahin,Research Institute
Ali Saleh Alshami,Chemical Engineering Department
Ali Taleb Al-Awami,Electrical Engineering Department
Allan Hamdan,Dammam Community College
Almaz Jalilov,Chemistry Department
Aly Aly Moftah,General Studies Department
Amar Bachir Amar Khoukhi,Systems Engineering Department
Amer Adnan Samih El-Batta,Chemistry Department
"Amin, Alaaeldin Abdul Monem",Computer Engineering Department
Amine Nehari Talet,Accounting and Management Information Systems Department
Amjad Ashfaque Shaikh,Chemical Engineering Department
Amjad Bajes Khalil,Physics Department
Ammar Elhusseiny,Geosciences Department
Amro Al-Qutub,Mechanical Engineering Department
Anan Al-Karmi,Physics Department
Anas Al-Ghazi,Systems Engineering Department
Anas Mohamed Aatef Ata Salhab,Electrical Engineering Department
Andrew Mckay,Preparatory Year Program
Anthony Julian Odell,Preparatory Year Program
Anwar Joarder,Mathematics and Statistics Department
Aref Abdullah Al-Ashban,Management and Marketing Department
Arshad Aziz,Dammam Community College
Arun T.A. Kumar,Petroleum Engineering Department
Ashfaque H. Bokhari,Mathematics and Statistics Department
Ashraf Ali Mohammad Ali,Electrical Engineering Department
Ashraf E. Al-Fagih,Information and Computer Science Department
Ashraf Elazouni,Construction Engineering and Management Department
Ashraf Galal Eid,Accounting and Finance Department
Ashraf Mohamed Samir Farahat,Preparatory Year Program
Ashrafhusein I. Fatehi,Chemical Engineering Department
Aslam Chaudhry,Mathematics and Statistics Department
Asrar Ul Haq Sheikh,Electrical Engineering Department
Assad Al-Thukair,Chemistry Department
Assane,Mathematics and Statistics Department
Astra Agus Pramana,Physics Department
Atef Saeed Misfer Al Zahrani,Mechanical Engineering Department
Atique Siddiqui,Systems Engineering Department
Ayman A Ghannam,Physics Department
Ayman Al-Lehyani,Geosciences Department
Ayman Fazea Saleh Al-Lehyani,Geosciences Department
Ayman Kassem,Aerospace Engineering Department
Ayman Muhammad Abdallah,Aerospace Engineering Department
Ayman Sherif El-Said,Physics Department
Aymen Kayal,Management and Marketing Department
Azhar Iqbal,Mathematics and Statistics Department
Azhar Kazmi,Management and Marketing Department
Azzam Abdullah Alrajhi,Construction Engineering and Management Department
Azzedine Zerguine,Electrical Engineering Department
Bader Ahmed Al-Humaidi,Mathematics and Statistics Department
Bader Muzahim Bajaber,City and Regional Planning Department
Badr Hamad Aldohan,Electrical Engineering Department
Badr Mohamed Abdullah,Electrical Engineering Department
Balarabe Yushau,Preparatory Year Program
Bambang A.B. Sarif,Computer Engineering Department
Bambang Trigunarsyah Suhariadi,Construction Engineering and Management Department
Baqer Al-Ramadan,City and Regional Planning Department
"Baroudi, Uthman Abdul-Rahman",Computer Engineering Department
Basel Abu-Sharkh,Chemical Engineering Department
Basem Al-Madani,Computer Engineering Department
Basheer Chanbasha,Chemistry Department
Bashirul Haq,Petroleum Engineering Department
Basim Ahmed Abussaud,Chemical Engineering Department
Bassam Al-Absi,Mathematics and Statistics Department
Bassam Alameddine,Chemistry Department
Bassam El Ali,Chemistry Department
Bassam El-Ali,Chemistry Department
Bassam Hamdan,Accounting and Finance Department
Bayram Demir,Preparatory Year Program
Bekir Sami Yilbas,Mechanical Engineering Department
Belabbes Ahmed Merzougui,Nanotechnology Research Excellence Center
Bernard Kuowei Ee,Mathematics and Statistics Department
Bilal Ahmed Sidiqui,Aerospace Engineering Department
Bilal Chanane,Mathematics and Statistics Department
Bo Liu,Electrical Engineering Department
Boubacar Siddy Diallo,Accounting and Finance Department
"Bouhraoua, Abdelhafid",Computer Engineering Department
"Budair, Mohammed O.",RECTOR OFFICE
Calvin George Jr Burns,General Studies Department
"Chenaoua, Kamel",Computer Engineering Department
Chokri Belhaj Ahmed,Electrical Engineering Department
Christopher Morris,Preparatory Year Program
Christopher Paul Garris,General Studies Department
Colin Fry,Preparatory Year Program
Colin Hatfield,Mechanical Engineering Department
Daeung Kim,Architectural Engineering Department
Dan Oxley,Preparatory Year Program
Daniel Murteza,Management and Marketing Department
David Malcolm Berry,Preparatory Year Program
David Robert Jones,Preparatory Year Program
David Snow,Preparatory Year Program
Denis Hoppe,Preparatory Year Program
Dhaifallah Almatrodi,Deanship of Academic Development
Dheeraj S. Chauhan,Corrosion Research Excellence Center
Djamel Ouis,Architectural Engineering Department
Dodi Ahmed,Information and Computer Science Department
Dominick Joseph Antonucci,Preparatory Year Program
Dulaihan K. Al-Harbi,Chemical Engineering Department
Ebrahim Malalla,Information and Computer Science Department
Eddie Uprichard,Preparatory Year Program
Edward Joyner,Dammam Community College
Eid M. Al-Mutairi,Chemical Engineering Department
Eid R. Al-Harby,Islamic & Arabic Studies Department
"El-Maleh, Aiman Helmi",Computer Engineering Department
El-Sayed A. Osman,Petroleum Engineering Department
El-Sayed El-Alfy,Information and Computer Science Department
Elgaily Ahmed Eltayeb,Management and Marketing Department
Elias Arif,Geosciences Department
"Elrabaa, Mohamed Elnasir Salaheddin",Computer Engineering Department
Elyas Al-Shawish,Preparatory Year Program
Emad Ahmed Makki,Islamic & Arabic Studies Department
Emad Yehia Ahmed Ramadan,Information and Computer Science Department
Esam Al-Humaidan,Islamic & Arabic Studies Department
Esam Al-Sawi,Mathematics and Statistics Department
Esam Z Hamad,Chemical Engineering Department
Esmail M. A. Mokheimer,Mechanical Engineering Department
Essam E. Hassan,Electrical Engineering Department
Essam Eid Fahmy Osman,Islamic & Arabic Studies Department
Eyas Saleh ِAbdulaziz Al-Suhaibani,Electrical Engineering Department
Ezzat Hegazi,Physics Department
Fahad A. Al-Sulaiman,Mechanical Engineering Department
Fahad A.M Al-Said,Architecture Department
Fahad Al-Gahtani,Information and Computer Science Department
Fahad Assadi Alsubaie,Accounting and Finance Department
Fahad Ibrahim Essa Bin Radhyan,Physical Education Department
Fahad Saleh Mohammed Al-Ismail,Electrical Engineering Department
Fahd H.Dakhil,Civil and Environmental Engineering Department
Faheemuddin Patel,Mechanical Engineering Department
Fahhad Hussain Alharbi,Electrical Engineering Department
Faisal Ahmed Almuhana,Dammam Community College
Faisal Alvi,Information and Computer Science Department
Faisal Fairag,Mathematics and Statistics Department
Faleh A. Al-Sulaiman,Mechanical Engineering Department
"Fallatah, Yaser Ahmed",Accounting and Management Information Systems Department
Faouzi M. Khene,Research Institute
Farag Azzedin,Information and Computer Science Department
Faraz Jamshaid Ali Baber,Preparatory Year Program
Fareeduddin Ahmad,Research Institute
Farooq Saeed,Aerospace Engineering Department
Farrukh Shehzad,Chemical Engineering Department
Faslie Miller,Dammam Community College
Fatah Zouhir Khiari,Physics Department
Fawaz Yousef Ebeid Hrahsheh,Physics Department
Faysal Mohammad Mansour Al-Khulaifi,Chemical Engineering Department
Fazal-Ur-Rehman,Physics Department
Feras Mohamad Ameer Al Dirini,Electrical Engineering Department
Fiazuddin Zaman,Mathematics and Statistics Department
Fida F. Al-Adel,Physics Department
Fuad Mohammad Enaya,Physics Department
Gang Lei,Petroleum Engineering Department
George Raburu,Preparatory Year Program
Ghassan Oweimreen,Chemistry Department
"Ghouti, Lahouari",Information and Computer Science Department
